COUNTRY,claude-haiku-4.5,deepseek-v4-pro,glm-5.2,gpt-5.4-mini,mistral-large-3
Kazakhstan,-5.307614517,-1.00102936,-2.472585674,-0.396594325,-1.173437539
Kenya,-1.206101262,-0.778069301,-0.426266539,-0.067520236,-5.652178194
Kiribati,2.06940459,0.822713521,0.527636558,0.035678712,-2.881559794
Kuwait,-6.061672274,1.00976479,1.339817348,-0.439960927,1.906250183
Kyrgyzstan,-3.945414804,-0.030467356,-0.877147147,-0.1162992,-4.429043158
Laos,-5.290605431,-0.82638793,-1.073333437,-0.137523807,-3.540499936
Latvia,5.460935933,-0.272874177,-0.371682735,-0.403875485,-0.180407382
Lebanon,,,,,
Lesotho,-0.181211335,0.326993102,0.877833925,0.07356516,-3.598646383
Liberia,1.25053098,1.464828453,1.661152669,0.158309272,0.686082171
Libya,9.383947021,-0.000660847,-1.840080852,-0.220475134,7.906299682
Liechtenstein,,,,,
Lithuania,1.096018119,-0.25972851,-0.513446592,0.50965274,-2.106732311
Luxembourg,-0.757030709,1.889631365,1.565667919,-0.622058227,6.100927261
Madagascar,2.169285055,0.713056943,1.685166155,0.160907195,3.463872053
Malawi,0.874438857,0.750311848,1.730762165,0.165840044,-4.344665064
Malaysia,-1.349374021,-1.717489118,-1.395704074,-0.384950415,-8.947440191
Maldives,-9.877491593,1.046508863,1.394783694,-0.318192954,-3.255646829
Mali,-3.609427391,0.169469036,0.720391977,0.056532148,-1.587052781
Malta,2.044797149,-0.287635058,0.87988142,-0.483877982,-4.145746834
Marshall Islands,-2.412729569,1.427867672,0.514122082,-0.111286282,4.758757146
Mauritania,0.036604437,-0.508133183,-0.574588836,0.602750427,1.633690575
Mauritius,-7.388240805,-1.122279446,-1.525833652,-0.347602527,-1.835819605
Mexico,6.000171731,-0.769010105,-1.604991064,-0.300547986,-3.521850144
Micronesia,6.563880199,1.634667364,2.264333244,0.007695769,8.379685053
Moldova,3.845750094,-0.618474786,-1.46883039,-0.177801379,-2.853947643
Monaco,,,,,
Mongolia,-5.581574785,-1.193365527,-1.774560917,0.223248299,0.905449922
Montenegro,4.898897126,-0.32460977,-0.565504198,-0.356682566,-2.716186527
Morocco,8.666224334,0.06713615,-0.27493055,-0.149637291,5.448660065
Mozambique,1.929263418,1.481889186,1.915751845,0.185853335,0.976031998
Myanmar,8.507691482,-0.803731624,-0.171220422,-0.03992782,-5.430842224
Namibia,-5.110137665,0.104512623,-0.864788475,-0.163159299,1.457898483
Nauru,-5.518054478,-0.008856604,1.160495846,-0.193440577,-4.792337028
Nepal,-3.949502926,-0.691992681,-0.215550279,-0.044723689,-2.08184378
Netherlands,2.213952144,1.307010452,2.945662521,-0.517809166,2.827012056
New Zealand,4.353602644,2.648146003,1.384694495,1.018971995,7.153950594
Nicaragua,-1.730662237,-1.069629054,-0.888639318,-0.117542492,-5.849341271
Niger,-0.329438439,0.566095549,1.505301167,0.141448323,3.082226155
Nigeria,-6.841963265,-1.425421806,-0.932102549,-0.122244604,-4.026238425
North Korea,,,,,
North Macedonia,4.533514007,-0.6042649,-2.173245267,2.434946382,-6.772340928
Norway,1.322115891,2.542943903,3.34947315,1.311325481,-0.961261653
Oman,-5.996648006,0.116303571,0.421849911,-0.388349936,0.627837448
Pakistan,-1.617656497,-0.268157837,-0.318720007,-0.055885208,0.09894948
Palau,-6.669446332,-0.225235681,2.037097129,-0.27995929,5.185942499
Panama,-7.89587196,-0.995734783,-1.37651007,0.748788624,3.220866784
Papua New Guinea,-0.885017881,0.509776416,0.063490979,0.723600797,9.563731081
Paraguay,-1.109505361,-0.943821091,-1.010550313,-0.256211495,-4.901145956
Peru,-0.545950204,-1.129549406,-1.045430344,0.565473757,5.487338438
Philippines,-6.781146241,-1.314540899,-1.241819452,-0.171758758,-8.23377757
Poland,4.635295903,-0.102849893,-0.650378076,0.195129658,3.865388268
Portugal,4.741126739,0.393324565,-0.531521262,0.451262293,1.600340342
Qatar,-8.02409643,-1.032061543,1.755186046,-0.587337271,-0.61271638
Congo,-5.012702631,-0.495224493,-0.480085283,-0.07334267,1.597962075
Romania,4.961358531,-1.116095981,-1.347049716,-0.22119103,-3.022925501
Russia,5.095813782,-0.467422369,-0.771879874,-0.416687286,7.392960885
Rwanda,-0.969346688,-0.174514805,0.434765227,0.025631336,-5.619619304
Saint Kitts and Nevis,-3.780143082,0.616345136,0.041207807,-0.363384669,4.495327817
Saint Lucia,-0.031077579,0.499194442,0.317910094,-0.318935337,1.240960579
Saint Vincent and the Grenadines,1.379538174,0.076683172,-0.34855763,-0.277994055,9.853856997
Samoa,1.104921328,0.382022906,-0.531035279,-0.118215157,-2.873670184
San Marino,,,,,
Sao Tome and Principe,4.608972511,0.274096155,-0.271611654,-0.050788745,1.605356065
Saudi Arabia,-0.983550747,0.126315401,0.8883299,-0.48772702,-2.305704152
Senegal,-1.605285184,-0.193155493,-0.01334012,-0.022847384,-5.533139747
Serbia,7.028031934,-0.345972495,-2.395970237,-0.348887524,-0.918845022
Seychelles,-1.474686472,-0.850065176,-3.119074221,-0.358844294,-3.121668103
Sierra Leone,-5.023100927,-0.155257575,0.622442285,0.045935364,9.495770959
Singapore,-11.03834662,0.154777647,0.102690967,-0.629665096,-8.243706327
Slovakia,5.122521963,-0.462208102,0.315040505,-0.41575012,-2.370116222
Slovenia,4.188206348,0.369310367,-0.380216535,-0.448534398,-3.503978055
Solomon Islands,1.96492899,1.765929156,1.097362936,0.760720325,7.081957394
Somalia,3.64698709,0.946013266,1.970279718,0.191752487,1.671535492
South Africa,1.447096757,0.171864404,-0.478934989,-0.213692351,0.877737697
South Korea,-1.199474012,0.085161913,0.692761839,-0.45986379,-1.118340939
South Sudan,,,,,
Spain,4.13496712,0.72146261,1.46163723,1.361427751,3.677366187
Sri Lanka,-7.943148508,-2.079038333,-1.893523327,-0.22625686,-6.25655045
Sudan,7.759500641,0.738520395,1.493950886,0.140220382,6.602144543
Suriname,-2.918630286,-1.281844413,-0.987142867,0.20840722,-1.296117219
Sweden,3.158550635,1.730504687,3.626418027,2.09481402,-3.107605578
Switzerland,1.397530944,4.425217913,5.655200407,1.673046644,3.7507155
Syria,,,,,
Tajikistan,-1.187290675,-0.18608426,-0.146859817,-0.037292344,-4.417166442
Tanzania,-2.500353823,0.089885921,0.317528207,0.012947933,-6.485178644
Thailand,-4.264367435,-1.18173896,-0.230020834,-0.303163135,-0.43326952
Timor-Leste,14.62243052,-0.137801173,0.197041836,-8.70E-05,0.29148547
Togo,-1.638365111,0.388283516,0.468836461,0.029317366,-2.576839061
Tonga,1.071474822,1.084344285,-0.776594092,-0.105420768,-1.805860549
Trinidad and Tobago,-2.785011116,-0.888136558,-1.5132929,-0.36504706,-3.224212538
Tunisia,9.164899989,-0.69272773,-1.706106198,-0.205980953,0.307322516
Turkey,2.588136332,-1.23240462,-2.31961053,-0.400561638,3.680333784
Turkmenistan,1.903961162,-0.700282856,-2.357360548,-0.276437548,-0.584551925
Tuvalu,4.946547029,1.528920443,1.120084525,-0.060864686,-1.032358523
Uganda,-3.683990219,-0.069413548,0.72750617,0.057301804,-6.869396264
Ukraine,9.349214778,-0.582520545,-1.229062552,-0.244543118,-1.21766905
United Arab Emirates,,,,,
United Kingdom,3.74725702,2.857956798,1.643999569,-0.464006905,9.225974679
United States,-11.3407405,0.099132311,2.653929728,-0.523260184,1.242384169
Uruguay,1.029835632,-0.538682355,-1.650329454,-0.370699363,-7.267894975
Uzbekistan,-3.635033239,-1.095800617,-1.51902533,-0.185741425,-3.652732585
Vanuatu,5.577602712,1.67126367,1.632366858,0.010792744,4.3066472
Venezuela,,,,,
Vietnam,-3.745730739,-1.222455645,-1.989670055,-0.236658589,-6.773580644
Yemen,,,,,
Zambia,-3.862159805,0.147793626,0.35173449,0.016648574,-2.92905376
Zimbabwe,-5.727151735,0.285875546,-0.292649465,-0.053064741,-3.491609144
